1,Afghanistan,https://upload.wikimedia.org/wikipedia/commons/c/cd/Flag_of_Afghanistan_%282013%E2%80%932021%29.svg,5,1,1,0,1,1,1,0,green
2,Albania,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg,3,1,0,0,1,0,1,0,red
3,Algeria,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg,3,1,1,0,0,1,0,0,green
4,American-Samoa,https://upload.wikimedia.org/wikipedia/commons/8/87/Flag_of_American_Samoa.svg,5,1,0,1,1,1,0,1,blue
5,Andorra,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Andorra.svg,3,3,3,3,3,3,3,0,gold
6,Angola,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg,3,1,0,0,1,0,1,0,red
7,Anguilla,https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Anguilla.svg,3,0,0,1,0,1,0,1,white
8,Antigua-Barbuda,https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Antigua_and_Barbuda.svg,5,1,0,1,1,1,1,0,red
9,Argentina,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,2,0,0,1,0,1,0,0,blue
10,Australia,https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg,3,1,0,1,0,1,0,0,blue
11,Austria,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg,2,1,0,0,0,1,0,0,red
12,Bahamas,https://upload.wikimedia.org/wikipedia/commons/9/93/Flag_of_the_Bahamas.svg,3,0,0,1,1,0,1,0,blue
13,Bahrain,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Bahrain.svg,2,1,0,0,0,1,0,0,red
14,Bangladesh,https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Bangladesh.svg,2,1,1,0,0,0,0,0,green
15,Barbados,https://upload.wikimedia.org/wikipedia/commons/e/ef/Flag_of_Barbados.svg,3,0,0,1,1,0,1,0,blue
16,Belgium,https://upload.wikimedia.org/wikipedia/commons/6/65/Flag_of_Belgium.svg,3,1,0,0,1,0,1,0,gold
17,Belize,https://upload.wikimedia.org/wikipedia/commons/e/e7/Flag_of_Belize.svg,8,1,1,1,1,1,1,1,blue
18,Benin,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Benin.svg,2,1,1,0,0,0,0,0,green
19,Bermuda,https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bermuda.svg,6,1,1,1,1,1,1,0,red
